,Name,Sector
575,Marsapet,Retail
576,Gruppo Tera,Ecommerce
577,CodicePlastico,Technology
579,Doofinder,Technology
583,Nanoprom Chemicals,Chemicals & Pharmaceuticals
584,Elite,Construction
586,Eskalia et Nakupenda,Retail
587,LGX Logistics,Transport
589,StampaSi,Ecommerce
590,CAM,Industrial Goods
591,Plug In Digital,Media
593,Ocean Transport,Transport
594,Serinus,Energy
595,DEMV Deutscher Maklerverbund,Financial Services
596,STI Norland,Energy
597,HD Elektrotechnik,Technology
598,Engenie Group,Technology
599,Groupe N.A.T,Support Services
600,La Sarraz Pictures,Media
601,Smart-Planet,Retail
602,Sidea Group,Management Consulting
603,COUTEAUJAPONAIS.COM,Retail
604,PHYSIDIA,Health
605,Horando Deutschland,Retail
608,BIOTYFULL,Ecommerce
609,Bioksan,Food & Beverage
611,Yourparkingspace Limited,Technology
612,Carslift,Automobiles
613,Zimmerei Nordmann,Construction
614,SI Silicone Innovation,Industrial Goods
615,A.U.E. Genc Warenhandels-UG,Retail
616,MGvision,Advertising
617,New General Service,Support Services
618,ANDRE RENOVATION,Construction
619,M.D.G. Components Unipersonale,Industrial Goods
621,Symprove,Personal & Household Goods
622,Tecknuovo,Technology
623,Platform.sh,Technology
624,ISG Express Logistik,Transport
625,Manelli Impresa,Construction
627,SM SektManufaktur,Industrial Goods
628,Beauty Consult Deutschland,Health
629,Finauto,Automobiles
630,AuCOFFRE.com,Financial Services
631,Divido,Fintech
632,R&K Ingenieure,Construction
633,Nephos Technologies,Technology
634,La Vida,Support Services
635,Midstream Lighting,Technology
636,PROPULSE IT,Technology
637,Additius Santa Maria,Agricultural Commodities
638,CONEXIO TELECOM,Telecoms
639,Tripin,Retail
641,GeoTeam,Energy
642,Leascorp,Financial Services
643,Positive Healthcare,Management Consulting
644,Ralph Schmolke,Retail
645,Roomie Milano,Property
647,WORTEKS,Technology
648,REMOVE,Construction
650,Grill Autoservice,Automobiles
651,Inbrooll,Industrial Goods
652,Cross,Retail
653,B1gas S.p.A,Energy
654,Filva,Construction
655,Archingest,Construction
656,Alpha FX Group,Financial Services
659,Alfred Döpker,Construction
660,Bavaria-Ei,Retail
662,A.S.H. Automobile,Automobiles
664,ANDJARO,Support Services
665,Röhrtaler Wertstoff,Waste management & recycling
666,Autel Karnetic,Technology
667,Discoup.com,Advertising
669,HERRLES,Automobiles
671,Born Stahlbau,Industrial Goods
672,RETTEL Projektbau,Construction
673,Suntronic,Energy
674,TMT,Industrial Goods
675,Gedankenburg,Advertising
677,Glenholme Healthcare Group,Health
678,AUDENSIEL,Technology
679,Ivnosys,Technology
680,Mulconsa,Construction
681,50NRTH,Retail
684,MANANG,Construction
685,bestbion dx,Health
686,Avamore Capital,Financial Services
687,Solaris and more,Energy
688,Clearcycle,Retail
689,Opteamis,Support Services
690,Codenor,Construction
691,HAPPYBULLE,Ecommerce
692,Aurora Energy Research,Energy
693,Bacci,Fashion
694,Emilia Foods,Food & Beverage
695,T.E.A.M. - Ti educa a migliorare,Health
697,Assitech,Construction
698,Schott Packaging,Ecommerce
699,Alba,Energy
700,FinTrU,Financial Services
701,Global Edilizia,Construction
702,TPXimpact,Management Consulting
703,LGS SportLab,Advertising
704,Weiser Brandschutz & Technik,Construction
705,Fairfax and Favor,Fashion
706,FAO Consulting,Technology
707,Gruppo Del Barba Consulting,Financial Services
708,Exclaimer,Technology
709,Join Business Management Consulting,Management Consulting
710,Vennes,Construction
713,Atheneum Partners,Technology
714,Pharmacy2U,Technology
715,PHOENIX DEVELOPPEMENT,Support Services
716,Wiwie Transport,Transport
718,BK Beachhouse Mode,Retail
719,F.lli Urso,Construction
720,GoHenry,Financial Services
721,Adrilog,Transport
722,Attachment,Advertising
723,PARIS HERBES,Agricultural Commodities
724,Interlog Logistic,Transport
725,Conglomerati Bituminosi,Construction
727,Esyen,Technology
728,Sav-eco Packaging Ltd,Industrial Goods
729,Elmar Mair Tiefbau,Construction
730,ATLAS Innovative Engineering,Energy
731,SECURE-IC,Technology
732,DATALYO,Technology
733,Signify Technology,Management Consulting
734,BOXT,Ecommerce
735,James and James Fulfilment,Ecommerce
736,Armonie,Food & Beverage
737,Maverick Group,Technology
738,Brainpull,Advertising
739,Wiseband,Media
740,Groupe Ezdo La Boulangerie Des Gourmets,Agricultural Commodities
742,BIO-UV,Industrial Goods
743,F.G. Service,Construction
744,Allways Logistics System,Transport
746,autargo,Construction
748,Visualitics,Technology
749,HiFi extra,Retail
750,Ankerkraut,Food & Beverage
751,GDA,Fashion
752,Nexid,Technology
753,GS Studio & Service,Energy
754,Neosperience,Technology
756,Meic Costruzioni,Construction
757,Trident Lifting Solutions Ltd,Construction
758,Smart Battery Solutions,Technology
759,eu-bay Commerce,Retail
760,Jens Rabe Academy,Education
761,Hyperoptic,Telecoms
762,SEPALE,Energy
763,3A Informatica,Telecoms
764,EMSPROTO,Ecommerce
765,Laboratoires Dermosun,Chemicals & Pharmaceuticals
766,Saico,Construction
767,Nutis,Food & Beverage
769,SVTI,Industrial Goods
770,Enhancers,Technology
771,AGRIPOWER FRANCE,Waste management & recycling
772,Next Turbo Technologies,Industrial Goods
773,Velvet Media Italia,Advertising
774,Booster Box,Advertising
776,Darwin Group Limited,Construction
778,SKILLSDAY,Education
780,Maxfel,Interiors
781,Herrero Brigantina,Insurance
782,Manitech,Industrial Goods
783,Tradeco,Industrial Goods
784,MON CHASSEUR IMMO,Property
785,UpSlide,Support Services
786,COGECLIM ENERGIES,Construction
788,careful-service,Health
790,Progeny,Financial Services
791,Web Geo Services,Technology
792,Spedition Ibov,Transport
793,MyPostcard.com,Retail
794,VARIOSAN,Retail
795,Riedle + Bertsch,Technology
796,Mobili Fiver,Interiors
797,KLC DESAMIANTAGE,Construction
798,SECRET ARTS OF SPIRITS,Retail
799,MPB Group Limited,Ecommerce
800,3zehn Auto Discount,Automobiles
801,ADIKTEEV,Technology
802,Fundis Reitsport,Retail
803,Antriebstechnik Ebner-Seibold,Retail
805,Jointly il welfare condiviso,Support Services
807,DUSAPRO Immobilien,Property
808,SOLDATS FILMS,Media
809,Eagleprojects,Telecoms
810,Agile Lab,Technology
812,truu,Industrial Goods
813,L’Atelier,Technology
814,frigoclim Kälte-Klima,Construction
815,M Coffee Company,Retail
816,PROTEXTYL,Retail
817,SP architecte,Construction
818,Embargos a lo bestia,Retail
820,IMS Rettungsdienst,Health
821,Way2Global SB,Support Services
822,Media Access Solutions,Support Services
823,Exadi,Sales and Marketing
824,Fiber-Service-Gesellschaft,Telecoms
826,Worldwide Fishing Company,Food & Beverage
827,Doctor Hail spa,Automobiles
828,KBS Group,Support Services
830,Bauer Energiekonzepte,Energy
831,New Euroart,Construction
832,Capelli For You,Beauty
833,Ogury,Advertising
834,TFT Ernst,Construction
835,Somerford Associates,Technology
836,ARCADIA Investment,Property
837,FiloBlu,Management Consulting
838,Tribus Digital,Technology
839,DoIT,Technology
840,Global Perspectives,Health
841,Pirene,Support Services
842,iPulse,Personal & Household Goods
843,blue networks,Technology
844,N. Schwegler,Construction
845,Marcus Lutz Bau,Construction
846,HKR-Technik,Retail
847,Licht + Strom,Technology
848,Die Autowelt,Automobiles
849,ARTHEAU AVIATION,Aerospace & Defence
850,Cepo,Industrial Goods
851,Sneakers & Jackets,Financial Services
852,89up,Advertising
853,LUXURY & PERFORMANCE SELECTION,Automobiles
854,Grayce Group,Management Consulting
855,Nemesi Italia,Technology
856,Halo Service Solutions,Technology
857,Raspberry Pi,Technology
858,Giopato & Coombes,Interiors
859,Ship it,Retail
860,Rheinische Scheidestätte,Retail
862,Casa di Riposo Medicalizzata Sempione*,Health
864,Zinox Laser,Interiors
865,Tera Automation,Industrial Goods
866,Innova Hts,Health
869,LM Medical Division,Health
870,BEC,Technology
872,Spedition Kai Rindert,Transport
873,CO.GE.SA. Costruzioni Generali Saba,Construction
875,Autonova Milano,Automobiles
876,Polarstern,Energy
877,halsdorfer + ingenieure projekt,Property
878,OPNA,Support Services
879,Stikets,Ecommerce
880,CampuStore,Education
882,Cemir Security,Support Services
884,Groupe Zephyr,Health
885,Dernier Cri,Technology
886,yes!devs,Technology
887,Hydroflex Group,Retail
888,Proteko Service,Support Services
890,CNQ Consorzio Nazionale Qualità,Waste management & recycling
892,Panel Sandwich,Construction
893,SYMBIOSE Informatique,Technology
894,G.Engineering,Industrial Goods
895,I-PARTICULIERS,Property
896,Henco,Retail
897,Giglio.com,Ecommerce
900,OpenCorporates,Technology
901,BE CLOUD,Support Services
903,groupe mister menuiserie,Ecommerce
904,Insetto,Retail
906,skalis portage salarial,Support Services
907,peoplegrapher,Advertising
908,Reveg Fruit,Food & Beverage
910,Boender & Beutel,Industrial Goods
911,EKINOPS,Telecoms
913,möbelando,Retail
914,Democom,Telecoms
915,Erbagil,Pharmaceuticals
917,Advanced Composites Solutions,Automobiles
918,Spartivento Yachts & Charter,Travel & Leisure
920,TTP HOLDING,Support Services
924,LABEL EXPERIENCE,Financial Services
925,LMM Logistics,Transport
926,Medicalfit,Health
927,Nuova MG,Industrial Goods
928,innov and co handicap,Technology
929,Alma Entreprise,Construction
930,Radit,Support Services
931,REGIONAL EXPRESS,Transport
932,Aravati,Support Services
933,Pöhner Hamburg,Retail
934,Schreinerei Huber,Construction
935,ISR,Technology
936,Kinga Mathe,Retail
938,MaGarantie5ans,Retail
939,BEBEBOUTIK,Retail
941,CLAIR GROUP,Aerospace & Defence
942,Appsfactory,Technology
943,Stiltz Homelifts,Interiors
945,Coptrz,Aerospace & Defence
946,Nurole,Technology
947,ABAO Energy,Construction
948,Welol Next,Technology
949,Intent HQ,Technology
950,Café du Cycliste,Ecommerce
951,LANGER Lüftungs- und Klimaanlagen,Construction
952,Formind,Cyber Security
953,Oasis Smart SIM Europe**,Telecoms
954,Aferetica,Health
955,Zero,Energy
956,SKILLS,Support Services
957,3E Studio,Support Services
959,Kronos,Fashion
960,LaSaponaria,Beauty
961,Die Wuhlewanderer,Health
963,Arte e Passione,Restaurants
964,PAUL MARIUS,Retail
966,Whiskyzone,Retail
967,Targa Telematics,Technology
968,SIAN Wholesale Ltd,Transport
971,BullionVault,Precious metals
972,3A Antioxidants,Chemicals & Pharmaceuticals
973,on Metall,Industrial Goods
975,Selectra,Energy
976,Energetic,Energy
977,Faveod,Support Services
978,CYE Energia,Energy
980,Regular Trade,Retail
982,Confezioni Velvet,Fashion
983,Activ Bilanz,Property
984,Family Nation,Ecommerce
986,Izertis,Technology
987,Fashion Commerce,Ecommerce
988,Bulk Tainer Logistics Limited,Transport
989,Wingeco,Industrial Goods
991,Queraltó,Ecommerce
993,Archita Engineering,Support Services
994,Celeritas,Transport
995,peopleForecast,Technology
996,Digitalpa,Management Consulting
997,Faktenkontor,Advertising
998,CLAREO,Retail
999,Laca Trade,Property
